index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales predictions
272371,415,6,3/1/2015,0,0,0,0,0,0
558468,27,6,12/29/2013,0,0,0,0,0,0
76950,404,2,3/19/2014,657,1,1,0,0,6121.68
77556,683,1,1/29/2013,862,1,0,0,0,7895.45
456344,920,2,3/19/2014,591,1,1,0,0,5978.66
436466,758,3,6/26/2014,569,1,0,0,0,4214.47
646251,563,0,2/16/2015,321,1,1,0,0,3855.23
650464,930,5,11/22/2014,1367,1,0,0,0,7534.41
162710,756,3,6/4/2015,0,0,1,1,0,0
100327,49,1,1/13/2015,546,1,1,0,0,8058.839166666667
374540,787,3,7/23/2015,968,1,0,0,1,8126.67
399143,782,3,9/19/2013,472,1,0,0,0,4360.09
44740,897,6,4/20/2014,0,0,0,0,0,0
674144,933,0,12/9/2013,965,1,0,0,0,8572.62
81595,218,1,4/7/2015,804,1,0,0,1,5916.79
416724,554,2,10/9/2013,499,1,1,0,1,4238.17
632687,362,0,8/12/2013,1337,1,1,0,1,12433.62
351899,655,2,4/9/2014,560,1,0,0,0,5853.77
515940,785,2,12/31/2014,461,1,0,0,1,4900.495
567411,690,2,3/19/2014,866,1,1,0,0,6723.543333333334
274598,1103,6,2/15/2015,0,0,0,0,0,0
417880,431,0,6/2/2014,1367,1,1,0,0,15185.22
453710,127,1,9/24/2013,642,1,1,0,0,6843.76
597622,579,4,3/29/2013,0,0,1,1,1,0
223346,248,5,8/3/2013,1139,1,0,0,0,8262.29
630018,962,5,1/11/2014,0,0,0,0,0,0
355860,224,1,3/26/2013,515,1,1,0,1,6971.96
360080,208,2,6/19/2013,355,1,1,0,1,2845
129544,401,0,3/30/2015,1063,1,1,0,0,12194.89
422545,503,6,9/29/2013,0,0,0,0,0,0
174199,221,3,3/5/2015,562,1,1,0,0,5802.89
118613,268,6,11/2/2014,0,0,0,0,0,0
60310,799,1,8/27/2013,927,1,1,0,1,10295.64
328458,260,5,10/25/2014,894,1,0,0,0,6510.25
200661,1041,1,3/10/2015,594,1,0,0,0,4783.35
179581,350,1,6/18/2013,533,1,1,0,0,7639.68
587612,286,6,4/5/2015,0,0,0,0,0,0
320169,620,1,6/4/2013,709,1,1,0,0,8021.78
37194,521,0,6/17/2013,484,1,1,0,0,6537.74
685427,649,3,11/27/2014,435,1,1,0,0,4384.22
125422,1059,1,6/2/2015,1239,1,1,0,0,9916.16
24499,486,5,6/28/2014,373,1,0,0,0,2898.7
281806,252,3,10/17/2013,642,1,0,0,0,7810.89
540511,656,2,5/15/2013,421,1,1,0,0,3624.765
28689,642,4,9/12/2014,394,1,0,0,0,2967.27
165066,655,4,5/8/2015,761,1,1,0,0,9224.09
555963,992,2,6/26/2013,627,1,0,0,0,4957.2
610614,143,1,6/2/2015,731,1,1,0,0,8437.66
64013,421,4,7/18/2014,941,1,1,0,1,9526.91
30639,246,3,10/2/2014,1157,1,1,0,0,9392.42
418604,960,0,4/28/2014,720,1,1,0,0,9021.812666666667
468037,313,4,1/17/2014,697,1,0,0,0,6654.9
271589,291,5,6/29/2013,534,1,0,0,0,5281.07
77924,924,5,5/31/2014,333,1,0,0,0,3024.74
247149,337,1,8/13/2013,430,1,1,0,1,5883.05
576822,1024,3,3/12/2015,607,1,0,0,0,4298.51
108538,56,2,1/22/2014,402,1,1,0,0,5998.4
645670,507,2,4/9/2014,532,1,0,0,0,5942.12
601663,970,4,3/15/2013,406,1,0,0,0,3140.69
502588,846,1,6/23/2015,828,1,0,0,0,7494.12
66732,549,2,8/27/2014,582,1,0,0,0,4761.32
627113,1095,3,3/28/2013,852,1,1,0,1,8328.03
691184,859,4,4/12/2013,709,1,1,0,0,7076.693333333334
467913,914,1,7/29/2014,1178,1,1,0,1,10645.25
304890,888,1,6/23/2015,634,1,0,0,0,6130.51
274018,442,1,11/4/2014,517,1,1,0,0,5802.9
644430,34,5,3/9/2013,905,1,0,0,0,7466.75
669009,199,3,7/10/2014,581,1,0,0,0,6631.56
518722,854,3,6/4/2015,657,1,1,1,0,6644.91
505976,611,1,1/21/2014,485,1,1,0,0,6143.05
291572,808,3,4/9/2015,528,1,0,0,1,5520.43
39071,1105,3,1/22/2015,410,1,0,0,0,3526.75
319154,866,4,4/24/2015,445,1,0,0,0,5875.71
166603,222,5,9/28/2013,367,1,0,0,0,3247.3975
428262,476,1,9/24/2013,753,1,1,0,0,7360
20314,800,0,5/26/2014,494,1,0,0,0,4607.43
603091,330,0,3/24/2014,408,1,0,0,0,3472.24
500421,507,2,1/7/2015,648,1,1,0,0,7946.6
388016,98,6,6/2/2013,0,0,0,0,0,0
268257,1026,1,1/28/2014,1044,1,0,0,0,7125.53
216326,990,4,10/4/2013,719,1,0,0,0,6450
40755,8,5,1/10/2015,345,1,0,0,0,2898.51
8654,611,2,7/31/2013,566,1,1,0,1,6403.445500000001
37301,257,1,8/13/2013,777,1,1,0,0,7633.88
485623,840,3,4/16/2015,1189,1,1,0,0,8626.9
214073,848,4,7/31/2015,998,1,1,0,1,9387.05
406145,124,5,7/12/2014,297,1,0,0,0,2513.445
397642,1028,1,12/31/2013,438,1,0,0,1,3802.75
273960,95,1,9/24/2013,1099,1,1,0,0,9921.32
12104,208,0,10/28/2013,323,1,0,0,0,2123.62
361202,249,1,7/8/2014,449,1,0,0,0,3858.1783333333337
79347,887,2,3/20/2013,614,1,1,0,0,7248.983333333333
462803,73,0,4/28/2014,601,1,1,0,1,6206.95
141713,13,3,4/2/2015,501,1,1,0,1,5734.37
703618,1049,1,9/3/2013,580,1,0,0,1,3568.36
308360,144,3,2/5/2015,769,1,1,0,0,8422.5
317995,847,2,8/14/2013,1018,1,1,0,1,7459.2
364408,796,2,5/8/2013,717,1,0,0,0,7051.6
27886,396,3,6/11/2015,1139,1,0,0,0,9242.82
706814,1080,6,9/15/2013,0,0,0,0,0,0
514516,675,4,9/26/2014,338,1,0,0,0,2859.37
577373,1099,0,12/1/2014,1236,1,1,0,0,12454.14
190561,791,0,5/11/2015,858,1,0,0,0,7303.84
92512,1014,1,3/24/2015,1476,1,0,0,0,11846.01
565163,487,1,11/4/2014,737,1,1,0,0,8281.03
500246,427,2,2/13/2013,701,1,0,0,1,5903.4
223708,254,4,11/14/2014,282,1,1,0,0,3419.09
555732,43,4,1/31/2014,710,1,0,0,0,6566.78
654150,1074,1,6/9/2015,421,1,0,0,0,3594.65
558350,549,5,6/29/2013,380,1,0,0,0,3533.725
52167,1095,1,1/8/2013,720,1,1,0,0,5672.41
296981,295,0,10/28/2013,612,1,0,0,1,4124.57
332143,319,0,10/14/2013,863,1,0,0,1,7539.36
426553,1002,3,4/10/2014,642,1,0,0,0,5483.18
481847,448,5,12/6/2014,544,1,0,0,0,6590.6433333333325
100496,527,1,9/3/2013,1046,1,0,0,1,10577.08
706377,255,4,4/12/2013,652,1,1,0,0,5669.34
599169,581,4,7/4/2014,651,1,1,0,0,6049.1
55294,185,5,1/5/2013,550,1,0,0,0,6430.15
218737,244,5,11/22/2014,538,1,0,0,0,5259.781999999999
266706,1082,5,1/5/2013,877,1,0,0,0,6072.28
441953,216,4,3/20/2015,837,1,1,0,0,8387.51
127184,350,3,3/5/2015,508,1,1,0,0,6695
312223,748,0,3/31/2014,822,1,1,0,0,10444.34
583377,718,0,12/8/2014,962,1,0,0,0,8071.99
523743,739,4,2/21/2014,789,1,1,0,0,9824.5
476775,614,6,12/21/2014,0,0,0,0,0,0
620142,673,1,2/18/2014,615,1,1,0,0,7889.41
460092,83,0,6/10/2013,367,1,0,0,0,3425.6
169260,976,2,9/18/2013,598,1,0,0,0,5285.35
177084,637,5,4/6/2013,518,1,0,0,0,6082.3
645354,122,1,1/7/2014,714,1,1,0,0,6367.13
645737,898,0,11/24/2014,1013,1,1,0,0,10897.03
272578,1080,3,6/26/2014,710,1,0,0,0,7750.6
600374,291,0,3/30/2015,1290,1,1,0,0,13352.87
566038,24,3,1/3/2013,711,1,0,0,1,6945.22
381862,1096,6,8/18/2013,0,0,0,0,0,0
535335,637,4,5/30/2014,860,1,0,0,0,8841.24
499411,1002,1,6/2/2015,850,1,1,0,0,8447.7
625219,666,0,3/10/2014,497,1,0,0,0,4793.17
61823,1089,6,11/24/2013,0,0,0,0,0,0
653471,334,5,8/31/2013,515,1,0,0,0,4901.126666666666
441789,300,5,8/30/2014,951,1,0,0,1,7458.09
155435,207,0,9/22/2014,1166,1,0,0,0,8966.8
226567,683,2,5/27/2015,854,1,0,0,0,8218.11
107330,1094,1,5/14/2013,394,1,1,0,0,4994.5
149417,700,3,7/9/2015,576,1,0,0,0,4577.74
191690,959,1,8/26/2014,744,1,0,0,0,6311.02
146544,766,6,6/22/2014,0,0,0,0,0,0
383603,1011,5,6/8/2013,977,1,0,0,0,7745.92
452941,570,4,12/13/2013,676,1,0,0,0,6862.46
629103,685,1,9/10/2013,689,1,1,0,0,7859.17
30258,158,2,4/16/2014,681,1,1,0,1,8216.59
219501,66,4,5/29/2015,522,1,0,0,1,5230.33
528607,76,1,7/30/2013,1080,1,1,0,0,10643.55
397525,572,2,10/16/2013,458,1,0,0,0,5008.89
314281,184,5,10/11/2014,510,1,0,0,0,5070.09
489418,1034,4,12/6/2013,775,1,1,0,0,8033.04
182776,559,6,8/11/2013,0,0,0,0,0,0
335928,862,1,12/23/2014,1561,1,0,0,1,14600.41
198358,171,1,11/11/2014,962,1,1,0,0,9427.000833333332
400219,33,6,12/7/2014,0,0,0,0,0,0
427476,936,3,11/27/2014,963,1,1,0,0,7767.89
31892,948,1,2/18/2014,1682,1,1,0,0,7191.25
109374,371,5,5/4/2013,551,1,0,0,0,6288.68
385320,242,0,5/5/2014,378,1,1,0,0,4820.88
517169,133,4,1/17/2014,622,1,0,0,0,5809.27
369733,1031,0,12/15/2014,681,1,1,0,0,8660.6
71343,850,3,2/7/2013,710,1,1,0,0,6945.73
42363,860,4,6/5/2015,833,1,1,0,0,7825.1
612665,836,5,7/6/2013,301,1,0,0,0,2636.39
428563,965,5,11/30/2013,908,1,0,0,0,7936.69
610249,1096,0,1/26/2015,763,1,1,0,0,7755.8
669222,504,2,9/3/2014,836,1,1,0,1,7233.96
